Identifier;DimensionGroupId;DimensionId;Index;Title;Description
T009002;1;KenmerkenVanPersonen;1;Totaal personen;
10680;2;KenmerkenVanPersonen;2;Leeftijd: 0 tot 15 jaar;
53050;2;KenmerkenVanPersonen;3;Leeftijd: 15 tot 25 jaar;
53310;2;KenmerkenVanPersonen;4;Leeftijd: 25 tot 45 jaar;
53715;2;KenmerkenVanPersonen;5;Leeftijd: 45 tot 65 jaar;
80200;2;KenmerkenVanPersonen;6;Leeftijd: 65 jaar of ouder;
53500;2;KenmerkenVanPersonen;7;Leeftijd: 25 tot 35 jaar;
53700;2;KenmerkenVanPersonen;8;Leeftijd: 35 tot 45 jaar;
53800;2;KenmerkenVanPersonen;9;Leeftijd: 45 tot 55 jaar;
53900;2;KenmerkenVanPersonen;10;Leeftijd: 55 tot 65 jaar;
53925;2;KenmerkenVanPersonen;11;Leeftijd: 65 tot 75 jaar;
53975;2;KenmerkenVanPersonen;12;Leeftijd: 75 tot 85 jaar;
21800;2;KenmerkenVanPersonen;13;Leeftijd: 85 jaar of ouder;
1012600;3;KenmerkenVanPersonen;14;Migratieachtergrond: Nederland;"Persoon met een Nederlandse achtergrond

Persoon van wie de beide ouders in Nederland zijn geboren."
2012655;3;KenmerkenVanPersonen;15;Migratieachtergrond: westers;"Persoon met een westerse migratieachtergrond

Persoon met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan. 
Op grond van hun sociaal- economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin."
2012657;3;KenmerkenVanPersonen;16;Migratieachtergrond: niet-westers;"Persoon met een niet-westerse migratieachtergrond

Persoon met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin."
2012700;3;KenmerkenVanPersonen;17;Migratieachtergrond: 1e gen westers;"Persoon met een eerste generatie westerse migratieachtergrond

Persoon met een westerse migratieachtergrond:
Persoon met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan. 
Op grond van hun sociaal- economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.

Persoon met een eerste generatie migratieachtergrond:
Persoon die in het buitenland is geboren met ten minste één in het buitenland geboren ouder."
2012750;3;KenmerkenVanPersonen;18;Migratieachtergrond: 2e gen westers;"Persoon met een tweede generatie westerse migratieachtergrond

Persoon met een westerse migratieachtergrond:
Persoon met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan. 
Op grond van hun sociaal- economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.

Persoon met een tweede generatie migratieachtergrond:
Persoon die in Nederland is geboren met ten minste één in het buitenland geboren ouder."
2013050;3;KenmerkenVanPersonen;19;Migratieachtergrond: 1e gen niet-west...;"Persoon met een eerste generatie niet-westerse migratieachtergrond

Persoon met een niet-westerse migratieachtergrond:
Persoon met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.

Persoon met een eerste generatie migratieachtergrond:
Persoon die in het buitenland is geboren met ten minste één in het buitenland geboren ouder."
2013100;3;KenmerkenVanPersonen;20;Migratieachtergrond: 2e gen niet-west...;"Persoon met een tweede generatie niet-westerse migratieachtergrond

Persoon met een niet-westerse migratieachtergrond:
Persoon met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.

Persoon met een tweede generatie migratieachtergrond:
Persoon die in Nederland is geboren met ten minste één in het buitenland geboren ouder."
1016411;4;KenmerkenVanPersonen;21;Positie hh: hoofdkostwinner;"Positie in huishouden: hoofdkostwinner.
De positie in het huishouden is bepaald naar de aard van de relatie tot de hoofdkostwinner. De hoofdkostwinner is de persoon in het huishouden met de belangrijkste sociaaleconomische positie. Wie binnen een huishouden de hoofdkostwinner is, is afhankelijk van het inkomen en van de samenstelling van het huishouden."
1016400;4;KenmerkenVanPersonen;22;Positie hh: hoofdkostw. zonder partner;"Positie in huishouden: hoofdkostwinner zonder partner.
De positie in het huishouden is bepaald naar de aard van de relatie tot de hoofdkostwinner. De hoofdkostwinner is de persoon in het huishouden met de belangrijkste sociaaleconomische positie. Wie binnen een huishouden de hoofdkostwinner is, is afhankelijk van het inkomen en van de samenstelling van het huishouden."
1016410;4;KenmerkenVanPersonen;23;Positie hh: hoofdkostw. met partner;"Positie in huishouden: hoofdkostwinner met partner.
De positie in het huishouden is bepaald naar de aard van de relatie tot de hoofdkostwinner. De hoofdkostwinner is de persoon in het huishouden met de belangrijkste sociaaleconomische positie. Wie binnen een huishouden de hoofdkostwinner is, is afhankelijk van het inkomen en van de samenstelling van het huishouden."
