Id;Measure;KenmerkenVanHuishoudens;InkomensgrensHuishouden;DuurInkomenspositie;Perioden;Value;StringValue;ValueAttribute
0;1050010_1;1050010;1050290;A028721;2011JJ00;481,8;;None
1;1050010_2;1050010;1050290;A028721;2011JJ00;6,9;;None
2;1050010_1;1050010;1050290;A028721;2012JJ00;562,3;;None
3;1050010_2;1050010;1050290;A028721;2012JJ00;8;;None
4;1050010_1;1050010;1050290;A028721;2013JJ00;630,4;;None
5;1050010_2;1050010;1050290;A028721;2013JJ00;8,9;;None
6;1050010_1;1050010;1050290;A028721;2014JJ00;607,9;;None
7;1050010_2;1050010;1050290;A028721;2014JJ00;8,5;;None
8;1050010_1;1050010;1050290;A028721;2015JJ00;589,9;;None
9;1050010_2;1050010;1050290;A028721;2015JJ00;8,2;;None
10;1050010_1;1050010;1050290;A028721;2016JJ00;572,2;;None
11;1050010_2;1050010;1050290;A028721;2016JJ00;7,9;;None
12;1050010_1;1050010;1050290;A028721;2017JJ00;581,1;;None
13;1050010_2;1050010;1050290;A028721;2017JJ00;7,9;;None
14;1050010_1;1050010;1050290;A028721;2018JJ00;580,7;;None
15;1050010_2;1050010;1050290;A028721;2018JJ00;7,9;;None
16;1050010_1;1050010;1050290;A028721;2019JJ00;556,2;;None
17;1050010_2;1050010;1050290;A028721;2019JJ00;7,5;;None
18;1050010_1;1050010;1050290;A028721;2020JJ00;509,4;;None
19;1050010_2;1050010;1050290;A028721;2020JJ00;6,8;;None
20;1050010_1;1050010;1050290;A028721;2021JJ00;478,4;;None
21;1050010_2;1050010;1050290;A028721;2021JJ00;6,3;;None
22;1050010_1;1050010;1050290;A028721;2022JJ00;320,6;;None
23;1050010_2;1050010;1050290;A028721;2022JJ00;4,2;;None
24;1050010_1;1050010;1050290;A028721;2023JJ00;282,3;;None
25;1050010_2;1050010;1050290;A028721;2023JJ00;3,6;;None
26;1050010_1;1050010;1050290;A028724;2011JJ00;144,3;;None
27;1050010_2;1050010;1050290;A028724;2011JJ00;2,2;;None
28;1050010_1;1050010;1050290;A028724;2012JJ00;160,5;;None
29;1050010_2;1050010;1050290;A028724;2012JJ00;2,4;;None
30;1050010_1;1050010;1050290;A028724;2013JJ00;179,8;;None
31;1050010_2;1050010;1050290;A028724;2013JJ00;2,7;;None
32;1050010_1;1050010;1050290;A028724;2014JJ00;185,1;;None
33;1050010_2;1050010;1050290;A028724;2014JJ00;2,7;;None
34;1050010_1;1050010;1050290;A028724;2015JJ00;209,5;;None
35;1050010_2;1050010;1050290;A028724;2015JJ00;3,1;;None
